X,Y,Z
0.12325,0.243389,0.755361
0.114415,0.262158,0.746509
0.10524,0.280268,0.737266
0.0957614,0.297683,0.727689
0.0860187,0.314383,0.717832
0.0760446,0.33035,0.707745
0.0658773,0.345566,0.697496
0.0555437,0.360022,0.687137
0.0450684,0.373713,0.67672
0.034479,0.386629,0.666307
0.0237932,0.398772,0.655947
0.0130281,0.410144,0.645688
0.0021952,0.420743,0.635585
-0.0086956,0.430575,0.62568
-0.0196359,0.439645,0.616009
-0.0306271,0.447949,0.606617
-0.0416591,0.4555,0.597537
-0.0527338,0.462299,0.588791
-0.0638551,0.468345,0.580412
-0.0750232,0.47364,0.572415
-0.0862388,0.478187,0.564811
-0.0975056,0.481979,0.557616
-0.108822,0.485016,0.550832
-0.12019,0.487295,0.544456
-0.131602,0.488809,0.538489
-0.143057,0.489549,0.532916
-0.154539,0.489519,0.527724
-0.166041,0.488705,0.522904
-0.177546,0.487103,0.518429
-0.189033,0.484711,0.514272
-0.20048,0.481521,0.510415
-0.211858,0.477536,0.506825
-0.223133,0.472758,0.503468
-0.234273,0.467188,0.50032
-0.245236,0.460837,0.497345
-0.255982,0.453715,0.494502
-0.266464,0.445845,0.491773
-0.276636,0.437245,0.48912
-0.28645,0.427946,0.486504
-0.295858,0.417977,0.483905
-0.285752,0.449252,0.491063
-0.273015,0.479473,0.500085
-0.257805,0.508328,0.511077
-0.240302,0.53551,0.524132
-0.220713,0.560721,0.539304
-0.199274,0.583674,0.556624
-0.176245,0.604095,0.57609
-0.151899,0.621731,0.597672
-0.126546,0.636337,0.621308
-0.10049,0.647708,0.646906
-0.0740582,0.655659,0.674344
-0.0475769,0.660036,0.703466
-0.0213892,0.660713,0.734099
0.00417471,0.657602,0.766035
0.0287818,0.650647,0.799044
0.0521123,0.639833,0.832872
0.0951256,0.628499,0.854976
0.135906,0.612322,0.878005
0.173861,0.591571,0.901792
0.208436,0.566592,0.926144
0.239129,0.537799,0.950859
0.265495,0.505667,0.975726
0.287159,0.470727,1.00053
0.303818,0.433554,1.02505
0.315249,0.394757,1.04905
0.321313,0.354976,1.07232
0.321957,0.314859,1.09465
0.317213,0.275062,1.11581
0.307203,0.236233,1.13562
0.292131,0.198998,1.15387
0.272283,0.163958,1.1704
0.248024,0.131673,1.18504
0.219786,0.102652,1.19767
0.188066,0.0773489,1.20814
0.153415,0.0561524,1.21637
0.116429,0.0393778,1.22229
0.0777394,0.0272656,1.22582
0.0380038,0.0199753,1.22695
-0.00211056,0.0175833,1.22567
-0.0419309,0.0200833,1.222
-0.0807958,0.0273856,1.21597
-0.118062,0.0393198,1.20764
-0.15312,0.0556384,1.1971
-0.185397,0.0760215,1.18446
-0.214373,0.100082,1.16984
-0.239586,0.127376,1.15337
-0.260636,0.157405,1.13521
-0.277199,0.189632,1.11553
-0.289022,0.223484,1.09451
-0.285083,0.253004,1.07717
-0.27754,0.282215,1.05932
-0.26646,0.310698,1.04101
-0.251959,0.338045,1.02231
-0.2342,0.363869,1.00331
-0.213391,0.387808,0.984058
-0.18978,0.409527,0.964627
-0.163654,0.428727,0.945078
-0.135325,0.445148,0.92547
-0.105142,0.458568,0.905862
-0.0734675,0.468811,0.886307
-0.0406834,0.475747,0.866855
-0.0071811,0.479291,0.847553
0.0266399,0.47941,0.828442
0.0603945,0.47611,0.809567
0.093693,0.46945,0.790956
0.12616,0.459532,0.772648
0.148788,0.447676,0.753836
0.170055,0.43434,0.734894
0.189834,0.419648,0.715874
0.208006,0.403735,0.696816
0.224478,0.386741,0.67778
0.239163,0.368816,0.658825
0.251993,0.350112,0.64
0.262916,0.33079,0.62137
0.271899,0.311008,0.603002
0.26679,0.306615,0.587774
0.261196,0.302035,0.572845
0.255162,0.297245,0.558246
0.248732,0.292222,0.544006
0.24196,0.286951,0.530154
0.234888,0.281413,0.516707
0.227573,0.275594,0.503686
0.220059,0.269491,0.491109
0.213872,0.284338,0.492424
0.207194,0.29906,0.494163
0.200024,0.313622,0.496338
0.192347,0.327978,0.498942
0.184172,0.342081,0.501983
0.175493,0.355886,0.505452
0.16631,0.369351,0.509352
0.156637,0.382426,0.513669
0.146478,0.39507,0.518403
0.135838,0.407235,0.523535
0.124742,0.418879,0.529061
0.1132,0.429957,0.534958
0.101228,0.440432,0.541219
0.0888557,0.450258,0.547817
0.0781962,0.453181,0.557483
0.0670642,0.455428,0.567667
0.0554815,0.456946,0.578367
0.0434658,0.457676,0.589553
0.0310506,0.457562,0.601216
0.018275,0.456543,0.613323
0.00518128,0.454566,0.625856
-0.00817318,0.45157,0.638777
-0.0217414,0.447505,0.652061
-0.0354505,0.442319,0.665662
-0.0492318,0.435966,0.679553
-0.0629994,0.428404,0.693688
-0.0766753,0.419596,0.708017
-0.0901646,0.409512,0.722502
-0.10043,0.397637,0.732295
-0.11018,0.384853,0.742315
-0.119392,0.371149,0.752546
-0.128045,0.356518,0.76295
-0.136121,0.340952,0.773486
-0.143582,0.324446,0.784109
-0.150404,0.306999,0.794767
-0.156555,0.288613,0.805397
-0.161989,0.269296,0.815939
-0.166675,0.249061,0.826321
-0.170561,0.227934,0.836471
-0.173607,0.205936,0.846319
-0.175771,0.18311,0.855782
-0.177,0.159502,0.864786
-0.177251,0.135168,0.87325
-0.176486,0.110176,0.881095
-0.174657,0.0845965,0.888249
