X,Y,Z
0.12325,0.243389,0.755361
-0.321435,0.0761682,0.844462
0.190668,0.266776,0.457849
0.0833331,0.147413,1.07207
-0.194704,-0.00727,1.1957
-0.350273,0.0725843,0.831768
0.339253,0.0516454,1.08615
-0.38265,0.0670518,0.815662
-0.742465,0.141449,0.592724
-0.0678617,0.079422,0.902888
-0.296191,0.697249,0.574368
-0.0388497,0.0727143,0.90694
-0.722109,-0.278924,0.575635
-0.0679445,0.0772325,0.904428
0.342653,-0.563965,0.889686
-0.427292,0.0576647,0.789911
-0.631358,0.37308,0.148779
-0.0942487,0.0815891,0.900523
0.252912,-0.12774,1.11399
-0.174657,0.0845965,0.888249
-0.031733,0.637965,0.913149
-0.0681738,0.0794418,0.90316
0.0305848,0.605902,0.789504
-0.538341,0.614281,0.443371
0.0765694,-0.149866,0.989154
0.101461,0.338705,1.19581
-0.370833,0.0689953,0.982574
-0.530183,-0.067227,0.377415
0.0363439,0.506623,1.04462
-0.363388,0.753021,0.671116
0.107397,-0.509006,1.0353
-0.444907,0.246568,0.763739
-0.295528,0.0922789,1.13104
0.197536,0.0838447,1.17919
-0.47861,0.29713,-0.272717
-0.701886,0.254458,0.780113
-0.0295263,-0.579315,0.157495
-0.232424,-0.533921,0.909328
-0.306324,0.715531,0.279045
-0.208138,-0.243027,1.05148
-0.150235,-0.455743,0.602976
-0.401783,0.679147,-0.0222803
-0.374109,-0.0998047,1.17805
0.262002,0.723667,0.133211
-0.171899,0.295297,0.968349
0.0672618,0.271971,-0.0176479
-0.0533962,-0.266724,0.545527
-0.258819,0.0731604,1.21118
-0.734203,0.134085,0.71309
-0.0704122,0.655535,0.349596
0.393389,0.0460339,0.70895
0.359476,-0.308636,0.4989
-0.250838,0.199763,0.794706
-0.70004,0.124379,0.746236
-0.28851,0.848993,0.261048
-0.666881,0.412351,0.777712
-0.429938,0.0403786,-0.243443
-0.130656,0.184947,1.09132
-0.88928,0.138039,0.525115
-0.11154,-0.110636,1.17698
0.374917,0.0607158,-0.0913051
0.144977,-0.0645839,1.05723
-0.226805,0.598384,0.69698
0.160936,0.317713,1.05468
0.234923,-0.0375414,1.12681
0.0393762,-0.167212,1.05756
0.512479,0.242237,-0.111904
-0.348631,-0.356682,0.517402
-0.239838,-0.422519,0.508864
0.631413,-0.300588,0.364148
-0.0974173,0.269025,1.17186
-0.038906,-0.181582,1.06825
-0.0648663,0.224397,-0.121497
-0.539416,0.30801,0.549699
0.161528,-0.423558,0.768163
-0.13243,0.685839,0.186548
0.315262,-0.2449,0.715144
-0.521354,-0.263659,0.948417
0.0255623,-0.387037,0.871604
0.0434123,-0.327137,0.614619
-0.614181,-0.273089,0.103986
-0.422031,-0.333314,1.08561
-0.0811482,0.787192,0.764483
0.327585,0.282599,0.687107
0.0119525,0.210718,1.062
0.307481,-0.374571,0.402142
0.397817,-0.0329762,0.914135
-0.401452,0.661528,0.4199
-0.69638,0.277438,0.350112
-0.103142,0.569467,0.0830295
0.466326,-0.278494,0.876767
-0.0391181,-0.194904,1.23325
-0.304908,0.567116,0.136687
0.44519,0.769569,0.473879
-0.795079,-0.0284783,0.0245896
0.523356,-0.0903829,0.771045
0.373743,0.401956,0.229058
0.518418,-0.079635,0.532302
-0.027459,0.234572,1.11144
0.0547507,0.307017,-0.213744
-0.0788591,0.631899,0.192807
-0.134738,0.056555,1.24388
-0.103569,0.180856,1.23779
0.127956,-0.325548,1.07378
-0.597587,-0.135527,0.893996
-0.853699,0.316939,0.239519
0.399097,-0.221542,0.811695
0.737711,0.312158,0.651937
0.784408,0.320781,0.645502
0.184415,0.682825,0.818894
0.201537,-0.133477,1.13533
-0.57039,0.300937,0.448552
-0.401805,0.361558,0.956163
-0.22519,-0.218623,1.18031
-0.0112619,0.529851,0.232957
0.488342,-0.0836109,0.568792
-0.216714,-0.278921,1.11285
0.698342,0.492097,0.161278
0.280552,-0.363122,0.962008
0.394883,-0.07658,0.608133
-0.269384,-0.492175,0.167064
-0.0115525,0.374626,0.982718
-0.0488033,-0.0427494,-0.202542
0.821898,0.066809,0.678883
0.26503,-0.478688,0.468929
0.0972695,-0.0587969,1.24504
0.178232,0.0674009,1.22766
-0.509981,-0.472225,0.776053
0.178534,0.0939563,1.11959
-0.362824,0.165887,-0.0126088
0.215879,0.776804,0.391797
0.126617,-0.134449,1.03449
-0.392266,0.190799,0.980778
-0.078739,-0.404578,0.712798
0.327571,0.0729493,1.09368
-0.497133,0.654475,0.678389
-0.048741,-0.0299707,1.21112
-0.666348,0.127507,0.321043
-0.495258,0.447562,0.562206
-0.11824,-0.142278,-0.243652
0.302667,0.523509,0.907768
-0.410435,0.0366659,1.00955
-0.448208,0.414796,0.825545
0.275684,-0.345945,0.98882
0.0284306,-0.556677,0.455824
-0.839059,0.167891,0.309188
0.307233,-0.290303,0.774789
-0.835311,0.239434,0.342854
0.266047,-0.254946,0.797514
0.166356,-0.00730246,1.21575
-0.0231574,0.144436,1.10022
-0.223947,-0.277237,0.888982
0.378861,-0.264621,1.00996
0.144218,0.284618,0.55726
-0.183009,0.320268,1.02671
-0.478358,-0.283588,1.01254
-0.378502,-0.457425,0.318649
0.0713345,-0.117279,1.2412
-0.0665144,0.238921,1.09705
-0.618686,-0.143134,1.00788
0.300492,0.463936,0.98476
0.451163,0.0985059,0.681124
0.0651755,0.392973,1.08778
-0.0266719,-0.0703223,1.23092
-0.0480886,-0.325846,0.699838
0.46947,0.375246,-0.0492342
0.573112,0.374008,0.693704
0.640963,0.225671,0.906883
-0.00462442,-0.531825,0.592216
-0.131349,0.270759,1.1664
0.154062,0.864227,0.506041
-0.0219758,-0.142137,0.947707
0.104638,-0.323874,0.651356
-0.409292,0.0830148,0.381023
0.0604627,-0.478773,0.512071
0.0311124,0.546151,0.589381
-0.0611202,-0.262215,0.963319
-0.0313779,0.14841,-0.185143
-0.0258387,-0.00272652,1.23441
0.365098,-0.343269,0.750558
0.0936363,-0.409718,0.967055
0.17303,-0.371052,0.773048
0.0980628,-0.313807,0.805173
0.695228,0.184308,0.686541
0.0903557,0.0300223,1.19726
0.439935,0.206644,0.781964
-0.33622,0.430412,0.216836
0.466236,0.0689903,1.01931
0.653898,0.0683813,0.796667
-0.0695075,0.0338116,1.13617
0.159689,0.245282,1.19579
0.137441,0.445571,0.68533
0.453212,-0.142772,0.570549
-0.393478,0.370054,0.958367
-0.146415,0.316783,0.898289
-0.444983,0.00468073,0.60601
-0.797863,0.206694,0.658622
0.476086,0.00336542,0.114256
0.152735,0.411655,0.682028
0.405501,0.185516,0.0999121
-0.719424,0.119284,0.152571
-0.163882,0.311475,0.987539
0.755245,-0.067286,0.362985
-0.169554,0.403172,0.965831
0.345132,0.138775,0.950202
-0.391302,-0.507602,0.675696
-0.473774,0.263311,0.0128078
0.544502,0.677673,0.407065
-0.546969,-0.250235,1.03278
0.714519,0.101423,0.327107
-0.195901,0.0838684,1.05642
-0.419323,0.126091,0.862538
0.314667,-0.431218,0.420072
-0.584401,0.214308,-0.0292327
0.00466944,0.15815,0.93218
0.371899,-0.0546743,0.746592
0.283622,0.490518,-0.209254
0.654527,0.109024,0.217239
0.344861,0.413642,0.908411
0.621051,-0.139498,0.901365
-0.434065,0.28595,0.143296
0.0744659,0.376094,0.964129
0.0781381,-0.126449,1.09526
-0.0928286,-0.237941,0.478413
-0.264577,-0.19702,1.14154
-0.231318,-0.179079,1.21752
-0.500611,0.0139549,0.915682
-0.0609413,0.405882,0.847515
0.466999,0.672415,0.598997
0.547276,-0.490269,0.442137
0.127904,0.269769,0.995822
0.598666,-0.0163092,1.00575
-0.444412,0.315926,0.378779
-0.194463,-0.247609,1.18852
0.347708,-0.0283682,1.09581
-0.102075,-0.361069,1.11015
-0.517572,-0.305093,0.622836
-0.277498,0.459625,0.695163
0.0529205,-0.295273,0.581594
-0.385287,0.430332,0.163553
-0.493344,0.106581,0.933967
-0.211883,0.728257,0.209
0.0960246,-0.552199,0.771461
-0.0637409,0.755522,0.816138
0.0286484,-0.115165,1.10098
-0.365422,-0.107354,0.755614
-0.248176,0.778581,0.722146
0.262152,0.859887,0.529766
0.177592,-0.405212,0.787496
-0.530069,0.14993,0.39525
-0.0974039,0.211742,1.1769
-0.00771411,-0.559659,0.21511
-0.82959,0.163232,0.00599734
0.266859,0.222932,1.07936
-0.472557,0.117674,0.113987
0.197878,0.463499,0.439602
0.539956,0.381309,0.533793
0.470081,0.744791,0.18762
0.34121,0.270695,0.935175
-0.24521,-0.116999,1.09218
0.374056,0.495251,0.394346
-0.320634,0.0633226,0.963884
-0.316024,0.271068,1.02478
-0.527159,-0.211025,0.878813
0.200921,-0.145164,1.02211
-0.724201,0.30004,0.291318
0.327755,-0.263272,0.62611
-0.365472,0.208079,1.01997
0.73793,0.227059,0.58285
0.102283,0.71776,0.682971
0.523709,-0.239646,0.82404
-0.251505,-0.214147,0.768765
-0.161387,0.280571,1.03147
0.148882,0.398354,0.0895835
-0.0177976,0.748638,0.819745
-0.0830457,0.0846395,1.2402
0.12427,0.0989728,1.18287
-0.588004,-0.447679,0.12798
0.400865,-0.437731,0.53029
-0.637584,0.0638702,0.115872
-0.272496,-0.200248,1.07356
0.113641,-0.423341,1.12349
0.699684,0.338416,0.451798
-0.584494,0.53879,0.45916
-0.538772,0.106979,0.722624
0.13376,-0.236464,1.03818
0.126028,0.440931,1.0411
0.28981,-0.150266,1.05933
-0.109661,0.611809,0.839272
-0.491532,0.63919,0.0594135
0.0521438,0.357863,1.16944
0.460623,-0.299583,0.823793
-0.0480498,-0.379792,0.775237
-0.317098,0.11907,0.6756
0.172377,0.184859,0.862793
0.205627,-0.0401576,1.21952
-0.68448,0.320877,0.299314
0.472746,0.30215,0.756022
-0.824671,0.119581,0.619249
0.607988,0.0213582,0.477032
0.285048,0.337686,0.970101
-0.0507849,0.631637,0.911315
0.33965,0.188039,0.534058
0.348536,-0.180633,1.00399
0.452527,0.184284,0.855424
0.532006,-0.328743,0.578648
-0.0358873,0.74021,0.612772
0.643781,0.345929,0.00544317
0.37788,-0.0155168,1.10166
-0.128469,0.249927,1.10713
-0.460031,-0.287597,-0.261016
0.166703,-0.597456,0.757637
0.290883,0.628349,0.457677
-0.0301918,0.435246,1.07656
-0.418281,-0.35927,0.640212
-0.00984533,-0.561969,0.51141
-0.713817,-0.00978723,0.805847
-0.104374,0.168056,1.14659
0.0405942,0.50745,0.926475
0.0620169,0.182077,1.17796
-0.327766,0.440974,1.0245
-0.113084,0.305032,1.13305
-0.61639,0.0104366,0.803606
0.29624,0.169047,1.1855
-0.799288,0.0502824,0.687119
0.271567,0.0507192,1.07275
0.513239,-0.00763508,0.586083
0.116842,0.597518,0.776321
0.304539,0.393825,0.850965
-0.229115,-0.380982,0.445063
0.110356,0.166779,-0.0897387
-0.0667007,0.904694,0.373409
-0.353897,-0.554988,0.400975
0.502806,0.0353463,0.288203
0.0120494,-0.358302,0.773135
-0.420679,-0.313078,0.506755
-0.263534,0.728623,0.613143
-0.232273,-0.486787,0.570622
-0.603624,0.348428,0.176773
-0.186527,0.340038,0.156153
-0.810396,0.180713,0.337472
0.118198,-0.107454,0.870269
-0.260636,0.613074,0.957257
0.782377,0.189964,-0.0021159
-0.755733,-0.505036,0.436078
0.124296,-0.17219,1.07225
-0.641312,-0.219122,0.665605
-0.39893,-0.191243,1.14996
0.325747,0.485274,0.300249
-0.173327,0.210794,1.1755
-0.218983,0.445698,-0.109568
-0.104995,0.436573,0.961999
0.128643,0.101506,1.1664
-0.133179,-0.132788,0.786315
0.14267,-0.287682,1.12654
0.0436479,0.217366,1.07037
0.270884,0.053794,1.20857
-0.172124,0.704893,-0.135631
0.221778,0.77138,0.776181
-0.0907076,0.271552,0.977422
0.409028,0.144378,0.487018
-0.244947,-0.136136,1.05711
-0.250113,0.45447,0.704137
0.229738,-0.169559,1.01126
-0.271982,-0.00595935,0.912408
-0.136303,-0.0783196,-0.207331
-0.13112,-0.392008,0.94906
-0.527487,0.624768,0.289685
