j1, j2, j3, j4, j5, j6, j7,
-0.2,1.25,2.355,1.9,1.047,0.785,0,
0.88302,-0.826042,-2.11544,-1.20225,2.45543,1.6823,-1.81567,
-0.520724,0.112052,-1.57995,-1.98452,-0.13027,-1.48214,2.73237,
-1.38945,-0.324723,-2.71349,-0.695504,2.66744,-1.97343,-1.22856,
1.52813,0.0855579,1.93238,0.269275,0.164943,0.756301,0.00850684,
0.860505,-0.855517,-2.04945,-1.20264,2.40324,1.65814,-1.84183,
1.2195,0.112802,1.55127,-0.8366,-0.910403,1.04468,-2.23613,
0.839581,-0.889842,-1.97843,-1.20229,2.34651,1.63101,-1.87175,
2.52084,0.987384,0.819659,0.715355,-2.10998,-1.05511,1.83435,
1.24357,-0.637375,-2.85357,-1.20272,2.9668,1.8173,-1.52062,
-1.57062,-1.68146,-0.84761,0.874657,0.486573,0.666689,-0.190528,
-1.83521,0.632886,-2.96089,1.1972,-0.109847,1.82103,-1.47918,
-0.233623,-1.36077,1.80892,-1.0143,-1.01624,-0.0815696,-0.671391,
-1.89657,0.63964,0.286103,-1.19878,2.9668,1.81566,-1.51953,
1.61016,-0.580966,1.05647,-0.774371,-0.77323,0.00264781,1.54729,
0.815919,-0.939548,-1.88396,-1.2021,2.26658,1.58992,-1.90724,
2.93786,1.22655,2.49095,-1.17723,-1.69058,0.516433,1.58175,
1.19187,-0.648313,-2.76218,-1.2026,-0.231362,-1.80927,1.58586,
0.600963,0.0263688,1.79477,-0.833273,2.61319,-1.14524,0.404444,
1.05252,-0.696774,-2.50312,-1.20248,-0.40195,-1.77761,1.48571,
1.34599,0.560293,-2.22122,-0.456869,-0.848028,-0.791752,-1.24049,
1.24333,-0.637592,-2.85289,-1.20229,2.9668,1.81532,-1.5208,
0.799203,1.23408,-0.869181,-1.25437,1.19501,0.435741,1.67823,
2.09702,1.46379,-2.34195,-0.303976,-1.35924,1.41599,-0.389418,
0.391193,0.720354,0.615988,-1.23329,2.04471,1.20198,2.96265,
1.29155,0.398648,0.582642,-0.0145499,0.623749,0.000322809,1.0751,
1.57506,0.430939,1.82376,1.16407,1.8817,1.06705,1.60981,
2.35454,0.839108,-2.19888,-1.76055,-2.00605,0.973409,1.04741,
1.74536,0.73508,-1.59289,0.28666,1.50264,-0.979745,0.16829,
1.8028,1.19988,1.96721,0.304454,-1.24857,0.506721,1.17868,
1.54048,-0.250155,0.433293,-0.716966,-1.83236,-0.18126,2.50166,
1.6899,0.825081,-1.01684,-1.32643,-1.60508,-1.39663,2.61229,
2.75324,0.0277362,-0.0994091,0.456347,-2.52627,-0.853165,0.642117,
1.82629,-0.0716305,2.09303,-0.671231,-2.85355,-0.849448,-2.77442,
2.13653,2.06101,0.545418,0.79134,-2.1085,-0.509195,-0.91887,
-0.670057,-1.30897,-0.843245,0.653565,0.733126,0.280406,2.78165,
-2.33721,1.16479,-2.4086,-1.73918,-1.28353,0.471699,-0.613211,
-2.39882,1.17982,-0.822676,-0.900144,-1.59901,0.652942,-1.37049,
-1.53971,-1.10166,0.650044,-1.18907,0.198091,0.210339,-3.02946,
0.316918,-0.10686,1.19943,-0.518409,-1.3349,-1.53672,-2.52676,
0.637302,-0.488852,-2.17888,1.83159,-2.91706,2.08331,-0.784619,
-1.09404,-1.73902,0.592901,-0.510535,1.25743,0.827972,-1.54367,
0.384541,-0.50219,-2.54629,-0.150173,0.596064,-0.0318123,-1.08104,
-1.40437,-1.48648,-1.01773,-1.07121,1.55464,-0.19706,0.504105,
1.76472,0.943159,2.77008,1.28304,-0.0929659,-1.65597,-1.91956,
2.62677,1.70711,2.52687,-2.04489,-0.439051,-0.423119,-0.0335779,
0.131096,0.43853,0.831096,-1.97193,-2.72274,1.75718,0.210857,
0.0384557,-0.420341,0.740677,0.219257,2.58651,-0.321732,-1.5612,
-0.283251,-0.596148,-2.92353,0.92238,-2.26494,0.134122,1.33972,
-2.28479,-1.07309,1.19237,-1.603,0.682781,0.167226,1.53199,
-1.95948,-0.988311,1.1453,1.365,-0.338938,1.70318,0.734073,
-0.637529,0.115142,-0.0238398,1.77074,2.89972,-0.881086,1.84449,
-2.73766,-0.236199,2.49208,-1.29231,2.50676,1.88838,-0.993008,
-0.15641,-1.32216,-0.49364,0.53904,1.90264,1.33553,1.72546,
-1.14525,-1.64759,-2.17746,-0.242807,-0.816125,0.690004,1.87323,
2.50931,1.13732,1.44734,0.0391103,-1.9829,-0.718063,-0.0584476,
2.30671,1.9676,-2.59459,-1.38227,2.16272,-0.322815,-0.971428,
0.0605085,0.445486,-0.369244,-1.10214,-1.1423,-0.209725,1.33654,
-0.12182,-1.3774,-0.0785262,-0.0570845,-2.45498,-0.378991,3.00623,
-0.482719,-0.458106,-0.527864,0.695365,0.764949,0.420617,2.9522,
0.716311,1.53722,-0.285693,1.89069,0.81572,-0.830196,1.50657,
2.86018,0.490347,-0.18719,-1.15362,-2.17307,0.704755,-0.16803,
-1.58804,-0.708309,0.532214,-0.663829,0.832579,-1.6221,0.747007,
2.50684,0.358283,1.055,-0.761653,0.0346513,-0.805918,2.80615,
-0.244142,0.43642,1.32147,-0.117898,-1.88973,-1.47956,-0.408879,
0.200872,-0.256783,-0.473041,0.965812,-2.55428,1.82799,1.92693,
0.69195,1.55402,-0.380324,1.42717,2.62265,0.709929,1.84682,
-0.0801501,-0.998144,1.289,-1.43072,-2.37927,1.84194,2.64279,
0.0496253,-1.58766,2.07129,-1.65408,-0.403179,-1.13457,-1.46903,
-2.92294,-1.27534,-1.47336,-1.14655,-2.13028,1.09376,0.223843,
0.730724,-0.0453229,-1.97803,-0.576826,-0.949053,-0.273446,1.16384,
-0.963537,-0.473916,-0.24304,1.02728,2.83709,-0.702905,-0.966098,
1.85515,1.51955,0.146335,1.94988,1.62483,-0.586487,-2.40214,
1.80112,0.590034,-2.16588,-1.59965,-1.18946,0.543961,1.23843,
-2.16748,1.00689,2.02386,1.73647,2.83249,1.42814,1.99428,
-1.77055,-1.88463,-1.75575,0.594804,1.0246,1.91287,-2.08462,
1.19923,-0.599207,-1.16117,1.9325,0.364929,-1.71934,0.952181,
